,Unnamed: 0.34,Unnamed: 0.33,Unnamed: 0.32,Unnamed: 0.31,Unnamed: 0.30,Unnamed: 0.29,Unnamed: 0.28,Unnamed: 0.27,Unnamed: 0.26,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,question,hyperparameters,MAS workflow,ground truth,MAS answer
16,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,,,,,,,,,,,,,,,,,,What's the percentage of revenue contributes by people under 44?,"(1, 1)",datasets/chartqa/mas_clean.json,40.3,40.3%
17,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,,,,,,,,,,,,,,,,,,,What's the percentage of revenue contributes by people under 44?,"(1, 1)",datasets/chartqa/mas_faulty_handoff.json,40.3,40.3%
18,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,,,,,,,,,,,,,,,,,,,,What's the percentage of revenue contributes by people under 44?,"(1, 1)",datasets/chartqa/mas_faulty_reasoning.json,40.3,38.7%
19,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,,,,,,,,,,,,,,,,,,,,,What's the percentage of revenue contributes by people under 44?,"(1, 1)",datasets/chartqa/mas_faulty_perception.json,40.3,40.3%
20,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,What is the median of the three least raised biotech venture capitals?,"(1, 1)",datasets/chartqa/mas_clean.json,12000,12000
21,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,,,,,,,,,,,,,,,,,,,,,,,What is the median of the three least raised biotech venture capitals?,"(1, 1)",datasets/chartqa/mas_faulty_handoff.json,12000,"12,000"
22,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,What is the median of the three least raised biotech venture capitals?,"(1, 1)",datasets/chartqa/mas_faulty_reasoning.json,12000,"12,000"
23,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,What is the median of the three least raised biotech venture capitals?,"(1, 1)",datasets/chartqa/mas_faulty_perception.json,12000,"12,000 million US dollars"
24,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,"Between which two years , the GDP of New Zealand is maximum?","(1, 1)",datasets/chartqa/mas_clean.json,2009,2008 and 2009
25,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Between which two years , the GDP of New Zealand is maximum?","(1, 1)",datasets/chartqa/mas_faulty_handoff.json,2009,2009 and 2010
26,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Between which two years , the GDP of New Zealand is maximum?","(1, 1)",datasets/chartqa/mas_faulty_reasoning.json,2009,2008 and 2010
27,27.0,27.0,27.0,27.0,27.0,27.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Between which two years , the GDP of New Zealand is maximum?","(1, 1)",datasets/chartqa/mas_faulty_perception.json,2009,between 2008 and 2009
28,28.0,28.0,28.0,28.0,28.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,What is the total of Bad and Good in the Remain?,"(1, 1)",datasets/chartqa/mas_clean.json,100,100
29,29.0,29.0,29.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,What is the total of Bad and Good in the Remain?,"(1, 1)",datasets/chartqa/mas_faulty_handoff.json,100,100
30,30.0,30.0,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,What is the total of Bad and Good in the Remain?,"(1, 1)",datasets/chartqa/mas_faulty_reasoning.json,100,100
31,31.0,31.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,What is the total of Bad and Good in the Remain?,"(1, 1)",datasets/chartqa/mas_faulty_perception.json,100,100%
32,32.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,What was the percentage of school children who read eBooks outside of class in 2016?,"(1, 1)",datasets/chartqa/mas_clean.json,11.1,11.1%
33,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,What was the percentage of school children who read eBooks outside of class in 2016?,"(1, 1)",datasets/chartqa/mas_faulty_handoff.json,11.1,11.1%
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,What was the percentage of school children who read eBooks outside of class in 2016?,"(1, 1)",datasets/chartqa/mas_faulty_reasoning.json,11.1,11.1%
